jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Goveji zrezki s porom,govedina,60,2,4 osebe,4,činča,24.6.2011,2011
Kunec v pečici,ostalo,90,2,,,Beatric,24.6.2011,2011
Hudičevi rumenci ,svinjina,240,1,2 osebi,2,dark_lauron,21.6.2011,2011
Mesno nabodalo z gobami,ostalo,30,2,,,oficir,20.6.2011,2011
Bosanski čevapčiči,mešano meso,30,1,4 osebe,4,bravo8,15.6.2011,2011
Pomarančni kuskus s piščančjo omako,perutnina,45,3,2 osebi,2,katka lopatka,7.6.2011,2011
Puranja roladica s kostanji,perutnina,60,3,2 osebi,2,katka lopatka,6.6.2011,2011
"Puranja ""sestavljenka""",perutnina,60,3,3-4 osebe,4,anamarija1,3.6.2011,2011
Musaka Tedy,govedina,75,2,4,4,sofia,2.6.2011,2011
Piščančji zrezki s pehtranom v okusni lešnikovi omaki,perutnina,45,2,Za 4 do 5 oseb,5,Mlada pocarka,22.5.2011,2011
Telečja obara z drobnjakovimi žličniki,teletina,90,3,za 4-5 oseb,5,vikica,20.5.2011,2011
Puranji golaž s celimi šampinjoni,perutnina,60,2,,,SanjaŠ,16.5.2011,2011
Golaž s papriko,ostalo,120,2,Za 6 oseb,6,oficir,13.5.2011,2011
Jajce v toplem objemu na slamnati posteljici,ostalo,45,2,,,oficir,12.5.2011,2011
Svinjski medaljoni s pikantno omako,svinjina,45,3,Za 4 osebe,4,oficir,9.5.2011,2011
Musaka 3 v 1,sesekljano meso,45,4,4 oseebe,,Taja88,6.5.2011,2011
Šunka v listnatem testu,svinjina,45,1,,,ozidar,5.5.2011,2011
Piščanec z zelenjavo,perutnina,45,2,,,KuharicaStoja,3.5.2011,2011
Beli zrezki v omaki,perutnina,60,3,za 2 osebi,2,sančy,14.4.2011,2011
Jetrca z omako,govedina,15,2,4 osebe,4,hazenfefer,14.4.2011,2011
Svinjski zrezek z bučkami in šparglji,svinjina,30,2,,,KuharicaStoja,13.4.2011,2011
Divjačinski ossobuco,divjačina,240,3,,,zzak1977,11.4.2011,2011
Puranji file s šparglji,perutnina,60,2,,,KuharicaStoja,8.4.2011,2011
Timijanov riž s piščancem,perutnina,45,1,,,Rakun,7.4.2011,2011
Pečena piščančja stegna s krompirjem,ostalo,75,1,,,Gdč Jasmina,7.4.2011,2011
Preprosti goveji zrezki,govedina,120,1,,,SaaRaa,6.4.2011,2011
Mesne kroglice s svaljki v smetanovi omaki,sesekljano meso,45,3,,,kuharpekarca,4.4.2011,2011
Svinjski vrat z zelenjavo,svinjina,120,2,,,KuharicaStoja,4.4.2011,2011
Pražena jetrca ,drobnica,30,2,3,3,Taja88,1.4.2011,2011
Piščančji golaž,perutnina,60,2,,,KuharicaStoja,30.3.2011,2011
Salame domače,koline,240,4,,,pjurjavcbohor,25.3.2011,2011
Govedina iz juhe,govedina,30,2,,,granatka,22.3.2011,2011
Boeuf bourguignon,govedina,240,5,8 oseb,8,archi,21.3.2011,2011
Golaž iz domačih suhih klobas,ostalo,60,2,,,KuharicaStoja,19.3.2011,2011
Mesne polpete-bomba,mešano meso,45,2,,,KuharicaStoja,19.3.2011,2011
Piščanec po bufteku,perutnina,30,3,2,2,andraz85,18.3.2011,2011
Tortilje po Andražu,ostalo,15,2,2,2,andraz85,18.3.2011,2011
Pijani piščanec,perutnina,60,1,,,ava athina,18.3.2011,2011
Puranji zrezki v okusni smetanovi omaki,perutnina,75,2,2,2,coconut,15.3.2011,2011
Piščančji želodčki v omaki,perutnina,120,3,,,KuharicaStoja,12.3.2011,2011
Okusni piščančji fileji v gobovo-poprovi omaki,perutnina,30,3,Za 4 osebe,4,nika00,9.3.2011,2011
Goveji zrezki v omaki iz zelenega popra,govedina,180,2,Za 4 do 6 oseb,6,sarabande,4.3.2011,2011
Sočna mesna solata,govedina,30,2,1/2kg govedine,,KuharicaStoja,3.3.2011,2011
Piščanec z rižem v pečici,perutnina,60,2,4 osebe,4,KuharicaStoja,3.3.2011,2011
Polnjena puranja rulada ,perutnina,90,3,Za 4 osebe,4,Soledad,3.3.2011,2011
Mesno-zelenjavni zavitek,ostalo,90,3,,,Vegica,2.3.2011,2011
Mehiške tortilje,perutnina,75,2,,,nežek,26.2.2011,2011
Essigfleisch ,govedina,60,2,za 4 osebe,4,vucko1.1,24.2.2011,2011
Piščančje tortilje,perutnina,60,1,,,kikerada,16.2.2011,2011
Čevap zvitki,mešano meso,75,2,za 4 do 8 oseb,8,general1983,15.2.2011,2011
Kozličkova rebrca za gurmane,drobnica,45,2,za 2 do 4osebe,,general1983,14.2.2011,2011
Grško zelje,sesekljano meso,120,2,1 pekač,,ursa89,13.2.2011,2011
Govedina po burgundsko (Beef Bourguignon),govedina,180,3,Za 4 osebe,4,Vesnuska,12.2.2011,2011
Piščančje prsi in bučke v voku,perutnina,15,1,za 4 osebe,4,Oliviers and Co,10.2.2011,2011
Čina,svinjina,30,2,,,Patrisha 11,9.2.2011,2011
Piščančji file z gobovo omako,perutnina,30,2,Za 4 osebe,4,branco,8.2.2011,2011
Musaka ,sesekljano meso,60,2,,,6goth6,1.2.2011,2011
Picajola,govedina,120,1,,,medvedica,30.1.2011,2011
Piščančje - špinačni dvoboj,perutnina,45,3,,,Darie_,25.1.2016,2016
Goveji zrezki v gorčično - smetanovi omaki,govedina,90,2,4 osebe,4,shari2007,19.1.2016,2016
Krotegini z lečo,svinjina,60,1,Za 2 osebi.,,sarabande,5.1.2016,2016
Ponarejeni mongol'c,sesekljano meso,60,2,4 osebe,4,gligor,28.12.2015,2015
"Ham-burger ""ala fasulas""",govedina,30,1,1,1,fasulas,24.11.2015,2015
Pizza polžki,mešano meso,60,2,12 kosov,12,burgy26,24.11.2015,2015
Piščanec v smetanovo - papričini omaki,perutnina,45,2,za 4 osebe,4,zagi93,23.11.2015,2015
Pečena svinjska rebrca,svinjina,240,1,,,Abeta,23.11.2015,2015
Pečena sarma ,mešano meso,180,3,,,tinka40,10.11.2015,2015
Zvitki iz konjskega mesa,ostalo,60,2,4,4,JelkaF,4.11.2015,2015
Choriza »ala fasulas«,ostalo,15,1,1,1,fasulas,3.11.2015,2015
Curry z govedino,govedina,180,2,za šest oseb,,mamamia,10.10.2015,2015
Mesno-zelenjavne kocke v pečici,svinjina,60,2,3 osebe,3,anamarija1,26.1.2011,2011
Srnini medaljoni,divjačina,120,3,,,Dodija,18.1.2011,2011
Klasična bolonjska omaka,sesekljano meso,120,3,,,Bourgogne,14.1.2011,2011
Rižota (s piščančjim mesom in gobami),perutnina,90,2,za 4 osebe,4,Cuddles,12.1.2011,2011
Svinjska ribica v gobovi omaki s širokimi rezanci,svinjina,45,1,2 osebi,2,zes5ana,11.1.2011,2011
Poljansko-kresniška žulca,ostalo,240,2,za 4 oseb,4,general1983,10.1.2011,2011
Piščančji fileji v voku ,perutnina,60,2,4,4,uros 99,10.1.2011,2011
Ribica v Martinijevi marinadi,teletina,240,2,4 osebe,4,anamarija1,10.1.2011,2011
Eksotični puranji zrezek ,perutnina,15,1,1 oseba,1,anamarija1,8.1.2011,2011
Sticky fingers z barbeque omako,perutnina,30,2,za 4 osebe,4,sheliak,8.1.2011,2011
Svinjski zrezki v listnatem  testu,svinjina,75,2,8 kosov,8,karlina,30.12.2010,2010
Saltimbocca po rimsko z dvema prilogama,teletina,60,3,za 4 osebe,4,syoss,30.12.2010,2010
Puranje prsi polnjene s suhimi slivami in marelicami,perutnina,75,2,4 osebe,4,andraz12,30.12.2010,2010
Preprosto top,govedina,30,2,Za 2-4 osebi,3,_tmickena_,29.12.2010,2010
Zeljno mesna pita,sesekljano meso,75,1,za 4 osebe,4,goga,25.12.2010,2010
Svinjska ribica po primorsko,svinjina,45,3,,,zzak1977,23.12.2010,2010
Gigantska sarma,sesekljano meso,75,3,za 6 oseb,6,bannanna,23.12.2010,2010
Čufti s sladko omako,ostalo,120,3,,,jancheee,19.12.2010,2010
Nadevana cvetača,sesekljano meso,90,2,,,marli,19.12.2010,2010
Kislo zelje na poseben način,perutnina,15,2,3 osebe,3,facanikola,16.12.2010,2010
Naravni svinjski zrezki po domače,svinjina,90,3,za 4 osebe,4,arepnik,11.12.2010,2010
Nadevan krompir ,ostalo,60,1,4,4,dveri,11.12.2010,2010
Vratovina v korenčkovi omaki,svinjina,180,3,10 oseb,10,anamarija1,11.12.2010,2010
Pražena jetrca  ,notranji deli,45,1,Za 2  osebi,,arepnik,9.12.2010,2010
Svinjski zrezki v smetanovi omaki,svinjina,45,2,za 6 oseb,6,mischela,9.12.2010,2010
Prebudimo okus,govedina,75,2,6 oseb,6,anamarija1,6.12.2010,2010
Piščančja obara,perutnina,60,1,2 osebi,2,zes5ana,3.12.2010,2010
Gosja bedra - pečena,perutnina,90,2,4 osebe,4,Migla,25.11.2010,2010
Puranje roladice s suhimi slivami,perutnina,120,3,,,bojanam,21.11.2010,2010
Barbacoa govedina,govedina,15,2,,,Vanja_v_ZDA,19.11.2010,2010
Rižota s puranjim mesom,perutnina,45,1,,,Gdč Jasmina,18.11.2010,2010
Piščančji sataraš,perutnina,45,2,,,BlueAngel,15.11.2010,2010
Meso + krompir v pečici,svinjina,45,2,za 2 osebe,2,monika88,12.11.2010,2010
Kurje bedro z grenivko,perutnina,60,2,ZA 6 OSEB,6,MAYCHYKA,11.11.2010,2010
Drugačni medaljončki,mešano meso,60,2,5 oseb,5,anamarija1,11.11.2010,2010
Kosilo za dva in pol,sesekljano meso,120,2,2 lačni osebi,,Leyla_,11.11.2010,2010
"""Janezove"" sarme",mešano meso,240,4,12 oseb,12,anamarija1,10.11.2010,2010
Klasična mesna lazanja,sesekljano meso,60,3,za 4 osebe,4,Jannaa,9.11.2010,2010
Jesenski piščanec po kraško,perutnina,90,3,Za 4 osebe,4,Otočanka,3.11.2010,2010
Bučke z mletim mesom,mešano meso,45,2,4 osebe,4,alen1993,30.10.2010,2010
Govedina v vinski omaki (v pečici) s polento,govedina,120,2,,,smarin,28.10.2010,2010
Zajec v omaki,ostalo,60,2,Za 3 osebe,3,zes5ana,25.10.2010,2010
"Rižota ""ala"" Maja",perutnina,45,1,,,maja99,22.10.2010,2010
Goveji golaž po starinsko,govedina,120,2,,,Alex Joy,22.10.2010,2010
Telečji zrezki,govedina,45,1,2,2,zes5ana,18.10.2010,2010
"Kuskus-zdravo pripravljen, z zelenjavo in piščancem",perutnina,45,2,Za 3-4 osebe,4,Na5tja,16.10.2010,2010
Govedina stroganov,govedina,90,2,,,Bella90,9.10.2010,2010
Piščanec v smetanovi omaki,perutnina,15,1,2,2,Brinchy,7.10.2010,2010
Krompirjevo mesna musaka,ostalo,60,2,Za 2 osebi,2,zes5ana,6.10.2010,2010
File po mehiško,perutnina,30,2,za 3-5 oseb,4,laura123,5.10.2010,2010
Govedina v Refošku,govedina,45,1,za 2 osebi,2,Roberto1303,27.9.2010,2010
Kuskus z mletim mesom v pečici,mešano meso,60,2,2 osebi,2,marjetica25,20.9.2010,2010
"Piščanec na ""buzaro""",perutnina,30,1,Za 4 osebe,4,BogoT,13.9.2010,2010
Polnjena telečja prsa,teletina,180,3,6 oseb,6,archi,11.9.2010,2010
Sočna jetrca z ajvarjem,govedina,15,1,,,aryy,9.9.2010,2010
Družabni kebab,perutnina,45,3,,,mocarelica1983,9.9.2010,2010
Rostbif zvitki z navdihom švedskega kuharja,teletina,30,2,2 osebi,2,KovacevaKobila,3.9.2010,2010
Mesne kroglice v paradižnikovi omaki,sesekljano meso,75,2,za 5 oseb,5,Jannaa,28.8.2010,2010
Paradižnikovo zelje,ostalo,180,2,,,Pegi,27.8.2010,2010
Nadevana kokoš,perutnina,240,3,Za 6 oseb,6,nola,20.8.2010,2010
Polnjene palačinke z mletim mesom in bučkami,mešano meso,60,2,6 kosov,6,Žiraf,12.8.2010,2010
Slastne mesne kroglice z omako!!!,mešano meso,30,1,2 osebi,2,URŠA mojstrica,6.8.2010,2010
Zrezki v gobovi omaki za gurmane,mešano meso,75,2,6,6,TAKATALA,5.8.2010,2010
Pica na kruhu,ostalo,120,2,,,BABI 2+2,3.8.2010,2010
Piščančji zrezki v beli omaki,perutnina,30,2,4 ,4,marussska,31.7.2010,2010
Puranji zrezek v sirovi omaki,perutnina,45,3,,,kuharca123,31.7.2010,2010
Kmečka pica,ostalo,120,2,za 3 osebe oz. en pekač,,baker girl,28.7.2010,2010
Sarma iz sladkega zelja,sesekljano meso,120,2,12 kosov - 6 -8 oseb,,vangogy,22.7.2010,2010
Zvitki s koromačem in špinačo,svinjina,45,2,za 5 oseb,5,Anansie,18.7.2010,2010
Njoki z bolonjsko omako,ostalo,90,3,,,Melani1997,14.7.2010,2010
Puranje meso pečeno v kosu,perutnina,90,3,za več oseb,,Migla,13.7.2010,2010
"Piščančji file z meto, limono in maslom",perutnina,45,2,,,Plain Jane,11.7.2010,2010
Lazanja v slow cookerju,sesekljano meso,240,2,4,4,kuhamuha,9.7.2010,2010
Puranji zrezek v curry omaki,perutnina,30,2,4,4,zupym,8.7.2010,2010
Mesne kroglice iz pečice,mešano meso,45,2,za 4 osebe,4,MAJA 007,7.7.2010,2010
Špageti z mesnimi kroglicami,mešano meso,60,1,,,zmesnjavca,6.7.2010,2010
Big Mac,sesekljano meso,15,2,,,xxs,3.7.2010,2010
Polnjeni jajčevci po mehiško,govedina,75,3,2 osebi,2,katka lopatka,1.7.2010,2010
"Puranji zrezek "" Ala fasulas""",perutnina,60,2,2 lačni osebi,,fasulas,30.6.2010,2010
Piščančji file v najboljši smetanovi omaki in s pečenim krompirjem,perutnina,75,2,2 osebi,2,mala žaba,29.6.2010,2010
Zelenjavno mesna pečenka z mladim krompirjem,perutnina,120,1,5 - 8 oseb,8,anamarija1,27.6.2010,2010
Pregrešni hamburger,govedina,15,1,,,Vegica,5.6.2010,2010
Kotleti v gorčici,svinjina,45,1,,,zmesnjavca,3.6.2010,2010
Njami tortilje,perutnina,60,2,za 4 osebe,4,Basti,1.6.2010,2010
Hrenovke po gračnersko,perutnina,300,1,zajtrg za eno osebo,1,Aljoša Gračner,22.5.2010,2010
Pizza burek po moje,ostalo,120,2,za 4 osebe,4,Jannaa,14.5.2010,2010
Prvomajski zrezki,perutnina,90,1,,,ribica,9.5.2010,2010
Kurja obara,perutnina,90,2,za 4 osebe,4,maya91,8.5.2010,2010
Kokosovi zrezki z ananasom in porom,perutnina,45,3,,,bake.a.cake,7.5.2010,2010
Puranji zrezki z gobovo omako,perutnina,45,2,2 osebi,2,twilight,20.4.2010,2010
Puranji zrezek z lisičkami in grahovim pirejem,perutnina,90,2,Za 4 osebe,4,sarabande,16.4.2010,2010
Svinjski zrezki v omaki iz belega vina z rožmarinom,svinjina,90,2,Za 6 oseb,6,sarabande,16.4.2010,2010
Ocvrti zrezki s hrenom in kislo smetano,mešano meso,45,3,,,tinca minca,15.4.2010,2010
Nadevani kotleti,svinjina,75,3,,,tinca minca,14.4.2010,2010
Puranji zrezki v omaki iz jurčkov,perutnina,30,2,3 osebe,3,Nynnah,12.4.2010,2010
Multi pire,govedina,45,1,4 osebe,4,dark_lauron,10.4.2010,2010
Polnjene bučke in šampinjoni,mešano meso,60,2,1 oseba,1,s_luce,10.4.2010,2010
"Polnjena ""filana"" paprika",sesekljano meso,60,1,,,zmesnjavca,6.4.2010,2010
Polnjeni puranji zrezki v omaki,perutnina,30,1,,,zmesnjavca,6.4.2010,2010
Piščanec v rožicah,perutnina,45,1,5 oseb,5,anamarija1,1.4.2010,2010
Mesni zavitek,sesekljano meso,75,2,,,matineja,26.3.2010,2010
Svinjski zrezki na oko,svinjina,30,3,,,andraz85,24.3.2010,2010
Zlate ribice,svinjina,30,1,3 osebe,3,anamarija1,22.3.2010,2010
Polnjeni zrezki el Diablo z žara,govedina,30,2,4 osebe,4,Primoz_G,13.3.2010,2010
Zarebrnice s  tekilo in limeto,svinjina,240,2,6 oseb,6,Primoz_G,12.3.2010,2010
Piščančje ruladice z blitvo in papriko v listnatem testu,perutnina,30,2,,,Teya74,10.3.2010,2010
Piščanec z bučkami,perutnina,45,2,za 4 osebe,4,Čokonatka,10.3.2010,2010
Kosilo iz konvekcijske pečice,perutnina,45,1,Za 2 osebi,2,wacvierkajca,8.3.2010,2010
Cvetačna kupola,sesekljano meso,60,2,3 osebe,3,katka lopatka,6.3.2010,2010
Piščančji biftek,perutnina,75,2,,,bistri čan,5.3.2010,2010
Pečeno zelje,sesekljano meso,75,3,,,binkola,3.3.2010,2010
Puranji zrezki z zelenjavo,perutnina,45,2,za 4 osebe,4,maya91,26.2.2010,2010
Mehiški piščančji kaneloni,perutnina,60,3,,,mateja.vidic,23.2.2010,2010
Zrezki v omaki ,svinjina,75,2,za 4 osebe,4,Puhy,21.2.2010,2010
Tex-Mex Burgerji ,ostalo,30,1,4 hamburgerji,,Primoz_G,19.2.2010,2010
Perutničke na sladki način,perutnina,45,2,,,shaney,17.2.2010,2010
Faširano meso v testu,teletina,180,3,3 osebe,3,linolina,16.2.2010,2010
Piščančja poezija,perutnina,45,2,za 1 osebo,1,gligor,16.2.2010,2010
Svinjski medaljoni v gorčični omaki,svinjina,30,1,Za 4 osebe,4,sarabande,14.2.2010,2010
Puranji zrezki s sirom in vinom,perutnina,30,1,,,petra krpic,7.2.2010,2010
"Piščančji ""ringlšpil""",perutnina,30,2,,,dj kumina,9.10.2015,2015
Goveji zrezki v mandljevi omaki,govedina,30,3,8 oseb,8,dj kumina,26.9.2015,2015
Telečja rolada,teletina,240,1,Za 12 do 15 oseb.,,sarabande,5.9.2015,2015
Nedeljski pladenj »ala fasulas«,perutnina,120,2,2-3,3,fasulas,21.8.2015,2015
"Goveji rep s česnom, trto in zapečeno polento",govedina,240,3,4 osebe,4,Atara,12.8.2015,2015
Lažni burek,govedina,60,1,,,SMARTY1,9.8.2015,2015
Pečena piščančja bedra v sladko - kisli omaki s cimetom in medom,perutnina,45,2,,,mojamalakuhinja,5.8.2015,2015
Riževo - mesne ocvrte kroglice ,mešano meso,75,2,,,mojamalakuhinja,1.8.2015,2015
Argentinski zrezek s krompirjem papas arrugadas in omako mojo rojo,govedina,60,2,,,Samo_23,28.7.2015,2015
Puranji trakci v smetanovi omaki z bučkami,perutnina,30,2,4 osebe,4,micimaci,24.7.2015,2015
Piščanec s česnom in limono,perutnina,60,2,za štiri osebe,,mamamia,23.7.2015,2015
Plavajoči piščančji zrezki v gorčično medeni omaki,perutnina,30,1,Za 2 osebi,2,mojamalakuhinja,18.7.2015,2015
"""Plave mašnice""",perutnina,75,2,5 oseb,5,dark_lauron,7.2.2010,2010
Kočevski cmoki,divjačina,30,1,,,Sdoroteja,6.2.2010,2010
Mamin ragu,mešano meso,75,2,10 oseb brez testenin,,dark_lauron,5.2.2010,2010
Sveža salama s kisom in čebulo,koline,30,1,4 osebe,4,lucka52,1.2.2010,2010
Raj na zemlji,govedina,90,2,5 oseb,5,anamarija1,26.1.2010,2010
Pečen krap,ostalo,90,1,,,Dorinvo,20.1.2010,2010
Zrezki iz mletega mesa - drugačni,sesekljano meso,60,2,za 8 oseb,8,Migla,20.1.2010,2010
Puranji zrezki v načo omaki,perutnina,45,3,5 oseb,5,Cukrpekr,16.1.2010,2010
Puranji zrezek Muha,perutnina,30,3,za 2 osebi,2,kuhamuha,12.1.2010,2010
Piščanec po florentinsko,perutnina,180,2,,,Nina92,12.1.2010,2010
Svinjska ribica v listnatem testu,svinjina,60,1,,,katicka19,9.1.2010,2010
Mehiški prigrizek,perutnina,30,1,4,4,mijagaja,7.1.2010,2010
Glavna jed s prilogo vred,govedina,120,1,4 osebe,4,anamarija1,4.1.2010,2010
Puranja rolada,perutnina,75,2,2,2,mijagaja,31.12.2009,2009
Ombolo v zelenjavni skorjici,svinjina,15,1,2 osebi,2,anamarija1,25.12.2009,2009
Knapovski zrezki,ostalo,90,3,za 4 osebe,4,previdna,21.12.2009,2009
Piščanec v pečici s krompirjem in česnom,perutnina,90,2,Za 4 do 6 oseb,6,sarabande,19.12.2009,2009
Krompir z omako iz tunine,ostalo,75,3,4,4,chef_p*^^,17.12.2009,2009
Vidna telečja rolada,teletina,45,1,3 osebe,3,anamarija1,16.12.2009,2009
Učeli skapati,svinjina,90,2,5 oseb,5,cimetka,15.12.2009,2009
Utopljena govedina,govedina,45,1,3 osebe,3,anamarija1,14.12.2009,2009
Sarma,sesekljano meso,60,3,40 sarmic,,Dragička,11.12.2009,2009
Piščanec v čebulnem kruhu,perutnina,90,3,5 kosov,5,janiro,11.12.2009,2009
Piščančji file v listnatem testu,perutnina,60,1,Za 4 osebe,4,katka0,9.12.2009,2009
Balsamico,mešano meso,15,1,,,pia09,8.12.2009,2009
Hitro meso s krompirjem,svinjina,45,1,za 3 osebe,3,domci 456,7.12.2009,2009
Piščančji zrezki Dominikana,perutnina,45,2,Za 4 osebe,4,thinkblue,7.12.2009,2009
Dušeno kislo zelje s krvavicami,koline,60,1,za 4 osebe,4,arepnik,6.12.2009,2009
"Jagnjetina ""izpod peke""",drobnica,120,2,,,Močvirnica,27.11.2009,2009
Musaka s piščančjim mesom,perutnina,60,1,za 4 osebe,4,sussy18,20.11.2009,2009
Svinjska krača v slow cookerju,svinjina,240,1,,,kuhamuha,16.11.2009,2009
Golaž za slow cooker,govedina,240,2,,,kuhamuha,11.11.2009,2009
Švedske mesne rulade,govedina,45,2,4 kosi,,Sheila,9.11.2009,2009
Svinjski file po kozjansko,svinjina,75,2,,,doggod,4.11.2009,2009
Preprost piščanec za slow cooker,perutnina,240,2,za 3 osebe,3,kuhamuha,2.11.2009,2009
Pečen svinjski vrat s porom,svinjina,120,3,4 osebe,4,rudl,2.11.2009,2009
Gratinirani puranji zrezki,perutnina,45,2,za 2 odrasla in 2 malčka,,Katja D,30.10.2009,2009
Zmešane tortilje,perutnina,30,1,4 osebe,4,-neja-,30.10.2009,2009
Segedin - poletni,svinjina,120,2,4,4,maykel,27.10.2009,2009
Zapečen jurčkov zrezek,svinjina,45,2,Za 4 osebe,4,rudl,21.10.2009,2009
"Divjačinski golaž ""GARTI""",divjačina,240,3,,,gartner3,13.10.2009,2009
"Mesni polpeti, ki ne redijo",sesekljano meso,60,2,,,xxs,8.10.2009,2009
Srnin ragu po gobarsko,divjačina,90,3,6 oseb,6,rudl,6.10.2009,2009
Mesni brodet,mešano meso,30,1,4 osebe,4,dark_lauron,1.10.2009,2009
Pečenka v okroglem pekaču,mešano meso,75,1,za 6 oseb,6,vanjatajnsek,30.9.2009,2009
Picek alla veneziana,perutnina,30,1,8 filetov piščančjih prsi,,spedy_gonsales,30.9.2009,2009
Pita z bučkami (a'la birch),sesekljano meso,60,2,Za 4 osebe,4,birch,27.9.2009,2009
Musaka iz pečenih paprik,sesekljano meso,90,2,,,Dragička,23.9.2009,2009
Ojstri,govedina,45,1,za 4 osebe,4,hedonist,4.9.2009,2009
Puranja rulada z bučko in korenčkom,perutnina,45,2,3 osebe,3,Katja D,31.8.2009,2009
Sheftalia,svinjina,45,3,za 4 osebe,4,deville,28.8.2009,2009
Zrezek po cigansko,perutnina,30,2,,,K@,27.8.2009,2009
Mleto meso z jajcem,mešano meso,120,3,8 KOSOV,8,_tamyka_,20.8.2009,2009
Pljučna pečenka s papriko,govedina,30,2,2 osebi,2,Vanja_v_ZDA,17.8.2009,2009
Bela bučka z nadevom,mešano meso,90,3,Za 4 osebe,4,Zmajcica,16.8.2009,2009
Pizza s piščancem po moje...,perutnina,90,2,2 osebi,2,Vanja_v_ZDA,12.8.2009,2009
Svinjska rebrca v čudezni marinadi,svinjina,90,2,Za 4 osebe,4,deville,11.8.2009,2009
Vulkan,perutnina,30,2,4 osebe,4,tjaaskoo,10.8.2009,2009
Puranji koščki,perutnina,60,2,za 4 osebe,4,ianna,9.8.2009,2009
Piščanec z ingverjem in česnom,perutnina,15,2,2 osebi,2,Nyxia,9.8.2009,2009
Kulinarične zapovedi po moje,drobnica,240,5,kolikor je članov,,anamarija1,6.8.2009,2009
Piščanec v palačinkah,sesekljano meso,75,3,za 4 osebe,4,GocaP,5.8.2009,2009
Mesni polpeti iz pečice,sesekljano meso,45,1,,,LeINA,28.7.2009,2009
Piščančje prsi v avokadovi omaki,perutnina,30,1,1 oseba,1,Kravdija,27.7.2009,2009
Nenavadno slano,mešano meso,60,1,3 osebe,3,anamarija1,23.7.2009,2009
Telečje meso z olivami,teletina,75,3,za pet ljudi,5,mizica,16.7.2009,2009
Goveji golaž,teletina,60,2,za štiri ljudi,,mizica,14.7.2009,2009
Počasna goveja pečenka,govedina,240,2,za šest oseb,,mamamia,13.7.2009,2009
Perutničke malo drugače,perutnina,45,2,za 4 osebe,4,1000AN,3.7.2009,2009
Piščančji frikase,perutnina,15,1,za 3-4 osebe,4,anci67,2.7.2009,2009
Piščančja prsa z gobami,perutnina,30,1,,,Seni,30.6.2009,2009
Golaž alla nina,svinjina,60,2,za pet oseb,5,ninchyy,27.6.2009,2009
Spomladanski piščanec z zelenjavo,perutnina,30,2,,,šimja,22.6.2009,2009
Polnjeni jajčevci,sesekljano meso,75,3,za 4 osebe,4,Tangaklara,18.6.2009,2009
Pečen piščanec s pikantno gorčično marinado,perutnina,45,2,Za 4 osebe,4,sarabande,16.6.2009,2009
Gov. zrezki v golaževi omaki,govedina,90,3,za 4 osebe,4,Kapitan Velika Žlica,14.6.2009,2009
Mesna pita,mešano meso,45,2,8 oseb,8,Migla,7.6.2009,2009
Polnjeni jajčevci,ostalo,90,2,za 3 osebe,3,Pitončica,1.6.2009,2009
Mesno zelenjavni polpeti,mešano meso,60,1,4 osebe,4,anamarija1,29.5.2009,2009
Polnjene melancane po grško,govedina,75,2,2 do 3 osebe,3,Vanja_v_ZDA,28.5.2009,2009
Mesni Haše vs. Dušeno Zelje,mešano meso,45,3,2-4 osebe,3,Dereck,19.5.2009,2009
Piščančja paella s pikantno klobaso,perutnina,120,3,Za 6 oseb,6,sarabande,12.5.2009,2009
Goveji koščki v korenčkovi omaki z lečo,govedina,45,3,za 4 osebe,4,larac,12.5.2009,2009
Piščanec v kečap omaki,perutnina,30,2,za 4 osebe,4,KT_KaT,8.5.2009,2009
Piščančji file s karijem,perutnina,30,3,4 osebe,4,kresnica,7.5.2009,2009
Mesne miške,sesekljano meso,30,1,,,AnnaH,5.5.2009,2009
Jetrca z jajci,notranji deli,15,2,,,thinkblue,29.4.2009,2009
Goveji medaljoni v parmezanovi skorjici,govedina,15,1,Za 2 osebi,2,urssula,21.4.2009,2009
Švicarski zrezki,teletina,60,2,za 4 osebe,4,karamazov,15.4.2009,2009
Lahki zrezki,svinjina,30,1,3 osebe,3,anamarija1,14.4.2009,2009
Dunajske kocke,mešano meso,30,1,za 2 osebi,2,yrla,10.4.2009,2009
Žrebičkovi zrezki v omaki,ostalo,30,2,za 2 osebi,2,Kitanna,6.4.2009,2009
Zajčja kisla čorba,divjačina,120,3,Za 4 osebe,4,sarabande,4.4.2009,2009
Goveji zrezki v omaki,govedina,60,2,,,Urškaa,30.3.2009,2009
Marinirani svinjski zrezki v omaki ,svinjina,45,2,,,mayaa,26.3.2009,2009
Zrezki v omaki,svinjina,90,2,,,krajnc,25.3.2009,2009
Pečena telečja krača,teletina,240,1,3-4 osebe,4,zz top,19.3.2009,2009
Piščanec v naravi,perutnina,45,1,6 oseb,6,dark_lauron,17.3.2009,2009
Musaka za mojo mami,mešano meso,90,2,za 6 oseb,6,pe3ca,16.3.2009,2009
Zrezki v česnovi omaki,ostalo,45,2,,,mirchy,3.3.2009,2009
Pisana mesna rolada,sesekljano meso,60,2,,,lucka52,2.3.2009,2009
Dušena govedina za lenuhe,govedina,240,1,za 8 oseb,8,nola,2.3.2009,2009
Divjačina v omaki,divjačina,90,3,,,simond,28.2.2009,2009
